,name,year,runtime,certificate,genre,rating,url
5658,My Giant,(1998),103 min,PG,"Comedy, Drama, Sport",4.9,http://www.imdb.com/title/tt0120765/
5659,Air Bud: Golden Receiver,(1998),90 min,G,"Comedy, Family, Sport",4.5,http://www.imdb.com/title/tt0140796/
5660,Gloria,(1999),108 min,R,"Crime, Drama, Thriller",5.1,http://www.imdb.com/title/tt0120683/
5661,Goodbye Lover,(1998),102 min,R,"Comedy, Crime, Mystery",5.7,http://www.imdb.com/title/tt0119219/
5662,The King and I,(1999),87 min,G,"Animation, Family, Fantasy",4.1,http://www.imdb.com/title/tt0160429/
5663,Lost & Found,(I) (1999),95 min,PG-13,"Comedy, Romance",5,http://www.imdb.com/title/tt0120836/
5664,Held Up,(1999),89 min,PG-13,Comedy,5.1,http://www.imdb.com/title/tt0165831/
5665,The In Crowd,(2000),105 min,PG-13,"Drama, Mystery, Thriller",4.6,http://www.imdb.com/title/tt0163676/
5666,Screwed,(2000),81 min,PG-13,"Comedy, Crime",5.7,http://www.imdb.com/title/tt0156323/
5667,Town & Country,(2001),104 min,R,"Comedy, Romance",4.4,http://www.imdb.com/title/tt0141907/
5668,The Crocodile Hunter: Collision Course,(2002),90 min,PG,"Action, Adventure, Comedy",5.4,http://www.imdb.com/title/tt0305396/
5669,The Gospel,(2005),105 min,PG,"Drama, Music",4.4,http://www.imdb.com/title/tt0451069/
5670,Undiscovered,(2005),97 min,PG-13,"Comedy, Music, Romance",4.2,http://www.imdb.com/title/tt0434424/
5671,The Ten Commandments,(2007),88 min,PG,"Animation, Family",2.9,http://www.imdb.com/title/tt0955411/
5672,Jonas Brothers: The 3D Concert Experience,(2009),76 min,G,"Documentary, Music",2.1,http://www.imdb.com/title/tt1229827/
5673,Count Dracula,(1970),98 min,PG,Horror,5.8,http://www.imdb.com/title/tt0065569/
5674,Pauly Shore Is Dead,(2003),82 min,R,Comedy,4.5,http://www.imdb.com/title/tt0284674/
5675,Miss Julie,(1999),103 min,R,Drama,6.3,http://www.imdb.com/title/tt0189744/
5676,Sidewalks of New York,(2001),108 min,R,"Comedy, Romance",6.5,http://www.imdb.com/title/tt0239986/
5677,Little Secrets,(2001),96 min,PG,"Comedy, Drama, Family",6.5,http://www.imdb.com/title/tt0296845/
5678,Deeply,(2000),101 min,PG,"Drama, Fantasy, Mystery",6,http://www.imdb.com/title/tt0218141/
5679,Kaena: The Prophecy,(2003),85 min,PG-13,"Animation, Adventure, Family",6.1,http://www.imdb.com/title/tt0297753/
5680,Good Advice,(2001),93 min,R,"Comedy, Romance",6.2,http://www.imdb.com/title/tt0243931/
5681,On the Edge,(2001),85 min,R,Drama,7.1,http://www.imdb.com/title/tt0221559/
5682,Imagining Argentina,(2003),107 min,R,"Drama, Romance, Thriller",6.3,http://www.imdb.com/title/tt0314197/
5683,The Parole Officer,(2001),93 min,R,"Comedy, Crime",6.4,http://www.imdb.com/title/tt0283534/
5684,Ararat,(2002),115 min,R,"Drama, War",6.6,http://www.imdb.com/title/tt0273435/
5685,Picking Up the Pieces,(2000),95 min,R,"Comedy, Fantasy",4.7,http://www.imdb.com/title/tt0192455/
5686,Alexandra's Project,(2003),103 min,Unrated,"Drama, Mystery, Thriller",6.6,http://www.imdb.com/title/tt0338706/
5687,Skipped Parts,(2000),100 min,R,"Comedy, Drama, Romance",6.4,http://www.imdb.com/title/tt0209322/
5688,Amy's Orgasm,(2001),87 min,R,"Comedy, Romance",5.3,http://www.imdb.com/title/tt0280424/
5689,Anne B. Real,(2003),91 min,PG-13,Drama,2.1,http://www.imdb.com/title/tt0315775/
5690,Pure,(I) (2002),96 min,R,Drama,7,http://www.imdb.com/title/tt0308772/
5691,Mad About Mambo,(2000),92 min,PG-13,"Comedy, Romance",6,http://www.imdb.com/title/tt0156757/
5692,The 4th Floor,(1999),90 min,R,"Horror, Mystery, Thriller",5.7,http://www.imdb.com/title/tt0167752/
5693,The Minus Man,(1999),111 min,R,"Crime, Drama, Mystery",6.2,http://www.imdb.com/title/tt0151582/
5694,Simon Sez,(1999),85 min,PG-13,"Action, Comedy",2.5,http://www.imdb.com/title/tt0168172/
5695,MVP: Most Valuable Primate,(2000),93 min,PG,"Comedy, Family, Sport",3.9,http://www.imdb.com/title/tt0196106/
5696,An American Rhapsody,(2001),106 min,PG-13,Drama,6.9,http://www.imdb.com/title/tt0221799/
5697,Going Greek,(2001),90 min,R,"Comedy, Drama, Romance",4.8,http://www.imdb.com/title/tt0263386/
5698,Last Orders,(2001),109 min,R,Drama,7,http://www.imdb.com/title/tt0253200/
5699,"Happy, Texas",(1999),98 min,PG-13,"Comedy, Crime, Romance",6.3,http://www.imdb.com/title/tt0162360/
5700,The Omega Code,(1999),100 min,PG-13,"Action, Adventure, Fantasy",3.5,http://www.imdb.com/title/tt0203408/
5701,The Statement,(2003),120 min,R,"Thriller, Drama",6.2,http://www.imdb.com/title/tt0340376/
5702,Chuck & Buck,(2000),96 min,R,"Comedy, Drama",6.6,http://www.imdb.com/title/tt0200530/
5703,Liberty Stands Still,(2002),96 min,R,"Action, Drama, Thriller",5.8,http://www.imdb.com/title/tt0280870/
5704,Series 7: The Contenders,(2001),86 min,R,"Comedy, Thriller",6.6,http://www.imdb.com/title/tt0251031/
5705,Jesus Christ Vampire Hunter,(2001),85 min,R,"Action, Comedy, Horror",5.2,http://www.imdb.com/title/tt0311361/
